مثاله	المتغير
أيرضيك ذلك؟ - "وسواء عليهم أأنذرتهم أم لم تنذرهم"	همزة الاستفهام والتسوية (أ)
ببيتك -بالله	حرف الجر والقسم (ب)
تالله	تاء القسم (ت)
سيزور	حرف الاستقبال (س)
عمّن – عمّا -عم	عن المدغمة نونها في ميم من وما (ع)
إذا مررت فسلمْ عليهم- ولا يؤذن لهم فيعتذرون- فتعالى الله عما يشركون- دخل محمد فخالد	فاء الشرطية والسببية والاستئنافية والعاطفة (ف)
كالقمر	حرف الجر (ك)
للمنزل-لينته عنه-إن في ذلك لعبرة	حرف الجر ولام الأمر ولام التأكيد (ل)
ممن-مما	من المدغمة نونها في ميم من وما (م)
أيها- هأنت	هاء التنبيه (ها – هـ)
كبر وعظم- سرت والليل-مضيت وأنا سعيد -والله	حرف العطف والمعية والحال والقسم (و)
ممّ	من الجارة المدغمة ميمها في ميم الاستفهام (م)
فيمن	في الجارة المتصلة بمن (في)
بم –فيم-لم-علام-إلام-حتام	حروف الجر المتصلة بما الاستفهامية المحذوفة الألف (ب-في-ل- على-إلى-حتى)
حينئذ-عندئذ	إذ الظرفية المتصلة ببعض الكلمات
